Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
25/10/2025,Cremonese,Atalanta,1,1,D,9,20,5,6,5.0,4.2,1.62,2025-26,Serie A,I1
26/10/2025,Torino,Genoa,2,1,H,13,11,6,3,2.25,2.9,3.5,2025-26,Serie A,I1
26/10/2025,Sassuolo,Roma,0,1,A,11,15,1,8,4.5,3.5,1.85,2025-26,Serie A,I1
26/10/2025,Verona,Cagliari,2,2,D,10,7,6,3,2.25,3.0,3.6,2025-26,Serie A,I1
26/10/2025,Fiorentina,Bologna,2,2,D,19,6,7,3,2.7,3.1,2.75,2025-26,Serie A,I1
26/10/2025,Lazio,Juventus,1,0,H,13,14,3,5,3.2,3.25,2.3,2025-26,Serie A,I1
28/10/2025,Lecce,Napoli,0,1,A,7,14,2,3,6.5,3.75,1.55,2025-26,Serie A,I1
28/10/2025,Atalanta,Milan,1,1,D,17,6,3,1,2.63,3.2,2.75,2025-26,Serie A,I1
29/10/2025,Como,Verona,3,1,H,15,13,5,9,1.6,3.6,6.5,2025-26,Serie A,I1
29/10/2025,Juventus,Udinese,3,1,H,25,8,11,2,1.44,4.1,8.5,2025-26,Serie A,I1
29/10/2025,Roma,Parma,2,1,H,18,8,6,5,1.53,3.75,7.5,2025-26,Serie A,I1
29/10/2025,Bologna,Torino,0,0,D,11,8,2,2,1.75,3.5,5.0,2025-26,Serie A,I1
29/10/2025,Genoa,Cremonese,0,2,A,16,12,1,4,1.85,3.25,4.75,2025-26,Serie A,I1
29/10/2025,Inter,Fiorentina,3,0,H,22,10,8,2,1.38,4.5,8.5,2025-26,Serie A,I1
30/10/2025,Cagliari,Sassuolo,1,2,A,8,12,1,4,2.6,3.1,2.88,2025-26,Serie A,I1
30/10/2025,Pisa,Lazio,0,0,D,10,11,2,6,3.7,3.25,2.1,2025-26,Serie A,I1
01/11/2025,Udinese,Atalanta,1,0,H,11,5,5,0,4.5,3.6,1.8,2025-26,Serie A,I1
01/11/2025,Napoli,Como,0,0,D,13,13,8,2,1.95,3.1,4.5,2025-26,Serie A,I1
01/11/2025,Cremonese,Juventus,1,2,A,9,15,2,5,6.5,4.33,1.5,2025-26,Serie A,I1
02/11/2025,Verona,Inter,1,2,A,8,21,2,6,7.5,4.5,1.42,2025-26,Serie A,I1
02/11/2025,Fiorentina,Lecce,0,1,A,15,11,4,4,1.62,3.8,5.75,2025-26,Serie A,I1
02/11/2025,Torino,Pisa,2,2,D,15,11,3,3,1.95,3.25,4.33,2025-26,Serie A,I1
02/11/2025,Parma,Bologna,1,3,A,7,22,1,6,4.2,3.0,2.05,2025-26,Serie A,I1
02/11/2025,Milan,Roma,1,0,H,17,20,8,6,2.2,3.0,3.7,2025-26,Serie A,I1
03/11/2025,Sassuolo,Genoa,1,2,A,13,16,4,5,2.45,3.0,3.2,2025-26,Serie A,I1
03/11/2025,Lazio,Cagliari,2,0,H,8,17,3,5,1.53,3.8,7.0,2025-26,Serie A,I1
07/11/2025,Pisa,Cremonese,1,0,H,14,13,6,3,2.25,3.1,3.4,2025-26,Serie A,I1
08/11/2025,Como,Cagliari,0,0,D,10,4,6,2,1.48,4.5,6.5,2025-26,Serie A,I1
08/11/2025,Lecce,Verona,0,0,D,11,5,6,2,2.75,2.9,2.9,2025-26,Serie A,I1
08/11/2025,Juventus,Torino,0,0,D,22,8,6,3,1.5,4.1,7.0,2025-26,Serie A,I1
08/11/2025,Parma,Milan,2,2,D,14,10,4,5,5.75,4.0,1.57,2025-26,Serie A,I1
09/11/2025,Atalanta,Sassuolo,0,3,A,14,8,2,4,1.44,4.5,7.0,2025-26,Serie A,I1
09/11/2025,Bologna,Napoli,2,0,H,11,4,4,1,3.0,3.1,2.55,2025-26,Serie A,I1
09/11/2025,Genoa,Fiorentina,2,2,D,10,7,6,3,2.75,3.0,2.75,2025-26,Serie A,I1
09/11/2025,Roma,Udinese,2,0,H,13,10,4,4,1.55,4.0,6.25,2025-26,Serie A,I1
09/11/2025,Inter,Lazio,2,0,H,8,8,3,5,1.36,5.0,8.0,2025-26,Serie A,I1
22/11/2025,Cagliari,Genoa,3,3,D,11,13,5,8,2.88,3.0,2.75,2025-26,Serie A,I1
22/11/2025,Udinese,Bologna,0,3,A,12,10,3,5,3.75,3.2,2.1,2025-26,Serie A,I1
