Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
19/10/2025,Nantes,Lille,0,2,A,8,23,3,5,4.5,3.6,1.8,2025-26,Ligue 1,F1
24/10/2025,Paris FC,Nantes,1,2,A,14,11,3,3,1.65,4.1,5.0,2025-26,Ligue 1,F1
25/10/2025,Brest,Paris SG,0,3,A,8,18,2,8,7.5,5.5,1.33,2025-26,Ligue 1,F1
25/10/2025,Monaco,Toulouse,1,0,H,14,10,5,2,1.83,3.9,4.0,2025-26,Ligue 1,F1
25/10/2025,Lens,Marseille,2,1,H,8,17,5,3,2.7,3.6,2.45,2025-26,Ligue 1,F1
26/10/2025,Lille,Metz,6,1,H,23,10,12,4,1.3,5.5,9.5,2025-26,Ligue 1,F1
26/10/2025,Angers,Lorient,2,0,H,7,23,4,4,2.55,3.2,2.88,2025-26,Ligue 1,F1
26/10/2025,Auxerre,Le Havre,0,1,A,14,9,3,4,2.1,3.4,3.5,2025-26,Ligue 1,F1
26/10/2025,Rennes,Nice,1,2,A,19,8,7,3,2.2,3.5,3.2,2025-26,Ligue 1,F1
26/10/2025,Lyon,Strasbourg,2,1,H,8,7,3,2,2.1,3.75,3.3,2025-26,Ligue 1,F1
29/10/2025,Le Havre,Brest,1,0,H,13,8,3,2,2.55,3.2,2.9,2025-26,Ligue 1,F1
29/10/2025,Lorient,Paris SG,1,1,D,5,15,2,8,9.5,6.5,1.25,2025-26,Ligue 1,F1
29/10/2025,Metz,Lens,2,0,H,16,10,7,2,6.25,4.5,1.5,2025-26,Ligue 1,F1
29/10/2025,Nice,Lille,2,0,H,8,21,4,4,3.0,3.5,2.3,2025-26,Ligue 1,F1
29/10/2025,Marseille,Angers,2,2,D,11,12,6,6,1.22,6.5,12.0,2025-26,Ligue 1,F1
29/10/2025,Nantes,Monaco,3,5,A,18,19,5,9,4.75,4.0,1.7,2025-26,Ligue 1,F1
29/10/2025,Paris FC,Lyon,3,3,D,11,7,3,4,2.7,3.5,2.5,2025-26,Ligue 1,F1
29/10/2025,Strasbourg,Auxerre,3,0,H,18,6,9,1,1.75,3.8,4.5,2025-26,Ligue 1,F1
29/10/2025,Toulouse,Rennes,2,2,D,15,11,4,5,2.15,3.5,3.3,2025-26,Ligue 1,F1
01/11/2025,Paris SG,Nice,1,0,H,28,5,8,2,1.25,6.0,10.0,2025-26,Ligue 1,F1
01/11/2025,Monaco,Paris FC,0,1,A,10,9,1,1,1.67,4.33,4.33,2025-26,Ligue 1,F1
01/11/2025,Auxerre,Marseille,0,1,A,9,6,4,2,4.75,4.0,1.67,2025-26,Ligue 1,F1
02/11/2025,Rennes,Strasbourg,4,1,H,13,20,6,2,2.25,3.6,3.0,2025-26,Ligue 1,F1
02/11/2025,Lens,Lorient,3,0,H,9,12,6,3,1.48,4.33,6.5,2025-26,Ligue 1,F1
02/11/2025,Lille,Angers,1,0,H,15,6,4,1,1.27,6.0,10.0,2025-26,Ligue 1,F1
02/11/2025,Nantes,Metz,0,2,A,16,14,4,7,1.91,3.6,4.0,2025-26,Ligue 1,F1
02/11/2025,Toulouse,Le Havre,0,0,D,18,9,2,3,1.75,3.7,4.75,2025-26,Ligue 1,F1
02/11/2025,Brest,Lyon,0,0,D,13,4,3,2,3.1,3.5,2.25,2025-26,Ligue 1,F1
07/11/2025,Paris FC,Rennes,0,1,A,19,10,4,3,2.2,3.5,3.2,2025-26,Ligue 1,F1
08/11/2025,Marseille,Brest,3,0,H,19,4,7,2,1.44,4.75,6.5,2025-26,Ligue 1,F1
08/11/2025,Le Havre,Nantes,1,1,D,17,5,4,2,1.9,3.3,4.5,2025-26,Ligue 1,F1
08/11/2025,Monaco,Lens,1,4,A,16,20,6,12,2.05,3.9,3.2,2025-26,Ligue 1,F1
09/11/2025,Lorient,Toulouse,1,1,D,10,6,2,2,3.0,3.3,2.4,2025-26,Ligue 1,F1
09/11/2025,Angers,Auxerre,2,0,H,9,12,5,5,2.55,3.1,2.9,2025-26,Ligue 1,F1
09/11/2025,Metz,Nice,2,1,H,9,11,2,4,3.3,3.6,2.1,2025-26,Ligue 1,F1
09/11/2025,Strasbourg,Lille,2,0,H,5,7,2,4,2.63,3.5,2.55,2025-26,Ligue 1,F1
09/11/2025,Lyon,Paris SG,2,3,A,9,9,2,4,4.2,3.9,1.8,2025-26,Ligue 1,F1
21/11/2025,Nice,Marseille,1,5,A,15,13,7,11,3.8,3.75,1.91,2025-26,Ligue 1,F1
